row,url,address,name,latitude,longitude,food
23,https://www.zomato.com/indore/mitti-organic-fresh-desi-old-palasia,"L.G 9 & 10, Captain C S Naidu Arcade, Old Palasia, Indore",Mitti - Organic. Fresh. Desi.,40.71973,-111.83444,"Pav Bhaji,Tea,Chai,Crispy Corn,Paratha,Pasta,Chole Kulche"
24,https://www.zomato.com/indore/hitchky-new-palasia,"Ground Floor 1, 19/4, Business Bay, Opposite Mangilal Dudhwala, New Palasia, Indore",Hitchky,22.728167,75.894901,Butter Chicken
25,https://www.zomato.com/indore/k2h-geeta-bhavan,"Geeta Nagar, Geeta Bhavan, Indore",K2H,22.71857,75.89189,Masala Maggi
26,https://www.zomato.com/indore/dawar-restaurant-new-palasia,"593, M.G.Road, New Palasia, Indore",Dawar Restaurant,32.85739,-94.94358,
27,https://www.zomato.com/indore/tinkus-old-palasia,"Anand Bazar Road, Bima Nagar, Old Palasia, Indore",Tinku's,22.72635,75.89434,Cold Coffee
28,https://www.zomato.com/indore/make-my-sandwich-vijay-nagar,"A - 21&22, Rajat Jayanti Complex, Vijay Nagar, Indore",Make My Sandwich,18.45305,73.80922,"Rolls,Chicken Sandwich,Kathi Roll,Cheese Sandwich"
29,https://www.zomato.com/indore/sourabh-sandwich-hig-lig,"8/4, Pardeshipura, Near Hanuman Mandir, HIG-LIG, Indore",Sourabh Sandwich,22.76507,75.88901,
30,https://www.zomato.com/indore/any-time-cafe-vijay-nagar,"GG-44, Scheme 54, Vijay Nagar, Indore",Any Time Cafe,22.76838,75.8925,
31,https://www.zomato.com/indore/singh-sahab-old-palasia,"LG 1, 5/2, Navneet Tower, Old Palasia, Indore",Singh Sahab,40.71973,-111.83444,"Biryani,Chicken Tikka,Tandoori Chicken,Butter Chicken,Fish Tikka,Murgh Malai"
32,https://www.zomato.com/indore/om-sai-ram-vijay-nagar,"8/1, Malviya Nagar, Near C21 Mall, Vijay Nagar, Indore",Om Sai Ram,22.76828,75.89402,"Thali,Dal Tadka"
33,https://www.zomato.com/indore/biggies-burger-n-more-vijay-nagar,"Shop G-2, Plot A-1, Mangal City, Scheme 54, PU 4, Vijay Nagar, Indore",Biggies Burger 'n' More,40.71973,-111.83444,"Burgers,Choco Brownie Shake,Mocktails,Tandoori Fries,Crunchy Burger,Fried Cheese,American Cheese Burger"
34,https://www.zomato.com/indore/shri-kripa-restaurant-hig-lig,"4, Patnipura Square, HIG-LIG, Indore",Shri Kripa Restaurant,22.73616,75.87709,
35,https://www.zomato.com/indore/faasos-vijay-nagar,"G-24, Mangal City Mall, A.B. Road, Vijay Nagar, Indore",Faasos,40.71973,-111.83444,"Chicken Biryani,Veggie Wrap,Rajma,Dal Makhani"
36,https://www.zomato.com/indore/annkut-rasoi-vijay-nagar,"301, FH- 400, Scheme 54, Vijay Nagar, Indore",Annkut Rasoi,22.76838,75.8925,"Mutton Bhuna,Rumali Roti,Hyderabadi Chicken Biryani,Butter Naan,Palak Paneer"
37,https://www.zomato.com/indore/12-am-hotel-somdeep-palace-vijay-nagar,"Hotel Somdeep Palace, MR 10, Vijay Nagar, Indore",12 AM - Hotel Somdeep Palace,22.75998,75.8863,"Butter Chicken,Chicken Biryani,Butter Naan"
38,https://www.zomato.com/indore/spicy-family-restaurant-vijay-nagar,"LG 14, Royal Platinum Building, Opposite Prestige College, Vijay Nagar, Indore",Spicy Family Restaurant,0,0,"Roasted Chicken,Chicken Noodle"
39,https://www.zomato.com/indore/royal-pizza-canter-sarafa-bazaar,"Shop 74, Chota Sarafa, Sarafa Bazaar, Indore",Royal Pizza Canter,22.7174,75.85128,
40,https://www.zomato.com/indore/sandwich-wali-geeta-bhavan,"G 03, 22A, Tirupati Business Center, South Tukoganj, Geeta Bhavan, Indore",Sandwich Wali,22.705243,75.864121,"Sandwich,Maggi,Tea"
41,https://www.zomato.com/indore/chinese-rolls-and-paratha-house-old-palasia,"144, Mahaveer Nagar, Old Palasia, Indore",Chinese Rolls And Paratha House,22.69431,75.83254,
42,https://www.zomato.com/indore/99-rotiwala-1-hig-lig,"4, Radhika Kunj, Colony, Ring Road, HIG-LIG, Indore",99 Rotiwala,22.68333,75.87065,
43,https://www.zomato.com/indore/tarang-the-tripti-vijay-nagar,"The Tripti Hotel,106, Scheme 78, Part 2, Vijay Nagar, Indore",Tarang- The Tripti,35.79992,-86.40332,Prompt Service
44,https://www.zomato.com/indore/chicken-hub-geeta-bhavan,"Shop B 2, Geeta Bhavan, Indore",Chicken Hub,22.71918,75.88884,
45,https://www.zomato.com/indore/daulat-sev-bhandar-hig-lig,"748/8, Nanda Nagar Main Road HIG-LIG, Opposite St. Joseph School, Indore",Daulat Sev Bhandar,40.71973,-111.83444,
46,https://www.zomato.com/indore/the-samosa-state-old-palasia,"Lower Ground 14, Navneet Plaza, Old Palasia, Indore",The Samosa State,40.71973,-111.83444,"Chocolate Samosa,Pizza Samosa,Punjabi Samosa"
47,https://www.zomato.com/indore/chai-kaapi-old-palasia,"Mehra Bhawan, Patrakar Square, Saket, Old Palasia, Indore",Chai Kaapi,18.994416,73.27293,"Tea,Coffee,Sandwich,Burgers,Pasta,Kadak Chai,Brownie"
48,https://www.zomato.com/indore/american-bawarchi-vijay-nagar,"MR 9 Road, Anil Nagar, Vijay Nagar, Indore",American Bawarchi,22.76007,75.88631,"Rice Bowl,Naan Pizza"
49,https://www.zomato.com/indore/the-kitchen-company-vijay-nagar,"Plot 58, PU 4, Near C21 Mall, AB Road, Vijay Nagar, Indore",The Kitchen Company,-10.92672,-37.116701,"Shawarma,Paneer Tikka"
50,https://www.zomato.com/indore/k2h-cafe-and-restaurant-geeta-bhavan,"Geeta Nagar, Geeta Bhavan, Indore",K2H Cafe and Restaurant,22.718571,75.891891,
51,https://www.zomato.com/indore/hugs-with-mugs-geeta-bhavan,"B-7, Alankar Point, Geeta Bhawan Square, Geeta Bhavan, Indore",Hugs With Mugs,22.71885,75.88808,
52,https://www.zomato.com/indore/o2-cafe-de-la-ville-new-palasia,"23/ 2C, New Palasia, Indore",O2 Cafe De La Ville,28.5205,77.25891,"Coffee,Pizza,Mocktails,Noodle,Brownie,White Sauce Pasta,Nachos"
53,https://www.zomato.com/indore/mr-egg-king-hig-lig,"14, Gurunagar, Behind Bus Depo, HIG-LIG, Indore",Mr. Egg King,0,0,"Egg Curry,Sandwich,Paratha,Egg Biryani,Egg Thali"
54,https://www.zomato.com/indore/34-chowringhee-lane-new-palasia,"Upper Ground, One Centre Survey, Palasiahana, Opposite 56, New Palasia, Indore",34 Chowringhee Lane,22.687741,75.874555,"Rolls,Soya Chaap Roll,Paneer Tikka Roll,Momos,Chicken Roll"
