link,address,name
https://www.zomato.com/indore/naan-stop-curry-vijay-nagar,"Plot 17, 4th Floor, P.U. 4 Commercial, Scheme 54, Vijay Nagar, Indore",Naan Stop Curry
https://www.zomato.com/indore/pizzato-press-complex,"2 & 3, Ayodhyapuri Colony, Near Laurels School, Near Press Complex, Indore",Pizzato
https://www.zomato.com/indore/pfj-punjabi-food-junction-old-palasia,"LG-1, Amardarshan, Saket Square, Old Palasia, Indore",PFJ - Punjabi Food Junction
https://www.zomato.com/indore/parag-mishthaan-3-sarafa-bazaar,"10, Bada Sarafa, Sarafa Bazaar, Indore",Parag Mishthaan
https://www.zomato.com/indore/apna-kitchen-hig-lig,"E/82-B, LIG Colony, Near Shefali Jain Hospital, HIG-LIG, Indore",Apna Kitchen
https://www.zomato.com/indore/the-kings-cafe-geeta-bhavan,"43, Geeta Bhavan, Lalaram Nagar, Geeta Bhavan, Indore",The King's Cafe
https://www.zomato.com/indore/guru-restaurant-hig-lig,"16, Pardesipura, Block 33, HIG-LIG, Indore",Guru Restaurant
https://www.zomato.com/indore/udan-khatola-vijay-nagar,"37, Scheme 54, Opposite SICA School, Vijay Nagar, Indore",Udan Khatola
https://www.zomato.com/indore/ice-balls-slice-square-1-new-palasia,"56, Chappan Market, New Palasia, Indore",Ice Balls & Slice Square
https://www.zomato.com/indore/the-london-shakes-cafe-old-palasia,"Shop 3, Anand Bazar, Main Road, Old Palasia, Indore",The London Shakes & Cafe
https://www.zomato.com/indore/club-19-cafe-by-pass-road-north,"PSP 2, Near Hans Travels, Scheme 94, Ring Road, By Pass Road (North), Indore",Club 19 Cafe
https://www.zomato.com/indore/just-and-china-hig-lig,Nanda Nagar Indore,Just And China
https://www.zomato.com/indore/pinchus-bakewell-vijay-nagar,"E.B-247, Scheme 94, Opposite Bombay Hospital, Vijay Nagar, Indore",Pinchu's Bakewell
https://www.zomato.com/indore/moms-courtyard-vijay-nagar,"165/A, Tulsi Nagar, Vijay Nagar, Indore",Mom's Courtyard
https://www.zomato.com/indore/surbhi-restaurant-old-palasia,"22, Vaikunt Dham, Khajrana Main Road, Anand Bazaar, Old Palasia, Indore",Surbhi Restaurant
https://www.zomato.com/indore/addys-baithak-old-palasia,"L.G. 1 Sanskriti Apartment, Swami Vivekanand Nagar, Kanadia Road, Old Palasia",Addy's Baithak
https://www.zomato.com/indore/kitchen-inc-vijay-nagar,"Plot 17, 4th Floor, P.U. 4 Commercial, Scheme 54, Vijay Nagar, Indore",Kitchen INC
https://www.zomato.com/indore/shree-krishna-cakes-hig-lig,"29, Patni Pura square, HIG-LIG, Indore",Shree Krishna Cakes
https://www.zomato.com/indore/cake-makers-old-palasia,"43, Gulmarg Colony, Near Saket Nagar, Old Palasia, Indore",Cake Makers
https://www.zomato.com/indore/the-juicebox-and-co-vijay-nagar,"GG 25, Scheme 54, Vijay Nagar, Indore",The JuiceBox And Co.
https://www.zomato.com/indore/bismillah-restaurant-geeta-bhavan,"764, Azad Nagar, Geeta Bhavan, Indore",Bismillah Restaurant
https://www.zomato.com/indore/om-sae-ram-restaurant-vijay-nagar,"Shop 03, Niranjanpur Chouraha, Behind Hanuman Mandir, Dewas Naka, Vijay Nagar, Indore",Om Sae Ram Restaurant
https://www.zomato.com/indore/drunken-monkey-vijay-nagar,"Plot 192, Scheme 54, PU 4, Behind Malhar Mega Mall, AB Road, Vijay Nagar, Indore",Drunken Monkey
https://www.zomato.com/indore/daluz-cafe-vijay-nagar,"Shop 1, Plot 6, Ground Floor, PU 4, Scheme 54, Vijay Nagar, Indore",Daluz Cafe
https://www.zomato.com/indore/mr-eggzotic-old-palasia,"11, Anand Bazar, Ravi Nagar, Old Palasia, Indore",Mr. Eggzotic
https://www.zomato.com/indore/raja-ram-dhaba-sweets-namkeen-vijay-nagar,"312/2, Near Dimond Petrol Pump, Dewas Naka, Vijay Nagar, Indore","Raja Ram - Dhaba, Sweets & Namkeen"
https://www.zomato.com/indore/kings-xi-restaurant-vijay-nagar,"R 396, Mahalaxmi Nagar, Nariman Point Road, Vijay Nagar, Indore",Kings XI Restaurant
https://www.zomato.com/indore/biryanotech-cafe-khajrana,"Shop 2, Nahar Shah Road, Bengali Colony, Khajrana, Indore",Biryanotech Cafe
https://www.zomato.com/indore/hotel-ten-eleven-vijay-nagar,"137 & 138, Scheme 78, Part 02, Vijay Nagar, Indore",Hotel Ten Eleven
https://www.zomato.com/indore/auntys-rasoi-ranjeet-hanuman,"238, Usha Nagar Extension, Opposite Ranjeet Hanuman Parking Gate, Ranjeet Hanuman, Indore",Auntys Rasoi
https://www.zomato.com/indore/taberna-online-kitchen-vijay-nagar,"Scheme 94C, 18A, 1st Floor, Velocity Multiplex, Ring Road, Vijay Nagar, Indore",Taberna Online Kitchen
https://www.zomato.com/indore/book-my-roti-vijay-nagar,"Shop 02, Scheme 54, Near Soft Vision College, Vijay Nagar, Indore",Book My Roti
